64
0000,0000
0000,0001
0000,0010
0000,0011
0000,0100
0000,0101
0000,0110
0000,0111
0000,1000
0000,1001
0000,1010
0000,1011
0000,1100
0000,1101
0000,1110
0000,1111
0010,0000
0010,0001
0010,0010
0010,0011
0010,0100
0010,0101
0010,0110
0010,0111
0010,1000
0010,1001
0010,1010
0010,1011
0010,1100
0010,1101
0010,1110
0010,1111
1000,0000
1000,0001
1000,0010
1000,0011
1000,0100
1000,0101
1000,0110
1000,0111
1000,1000
1000,1001
1000,1010
1000,1011
1000,1100
1000,1101
1000,1110
1000,1111
1010,0000
1010,0001
1010,0010
1010,0011
1010,0100
1010,0101
1010,0110
1010,0111
1010,1000
1010,1001
1010,1010
1010,1011
1010,1100
1010,1101
1010,1110
1010,1111
