64
0000,0000
0000,0001
0000,0010
0000,0011
0000,0100
0000,0101
0000,0110
0000,0111
0000,1000
0000,1001
0000,1010
0000,1011
0000,1100
0000,1101
0000,1110
0000,1111
0010,0000
0010,0001
0010,0010
0010,0011
0010,0100
0010,0101
0010,0110
0010,0111
0010,1000
0010,1001
0010,1010
0010,1011
0010,1100
0010,1101
0010,1110
0010,1111
0100,0000
0100,0001
0100,0010
0100,0011
0100,0100
0100,0101
0100,0110
0100,0111
0100,1000
0100,1001
0100,1010
0100,1011
0100,1100
0100,1101
0100,1110
0100,1111
0110,0000
0110,0001
0110,0010
0110,0011
0110,0100
0110,0101
0110,0110
0110,0111
0110,1000
0110,1001
0110,1010
0110,1011
0110,1100
0110,1101
0110,1110
0110,1111
